date,equity,close,state,side,emaFast,ema52,dea,fourDif,priceCross,longAllowed,filterLong
"2024-01-01",10000,44179.55,"up",0,42351.81770445764,40344.18016622157,791.4356606918395,178.2278038509903,false,true,true
"2024-01-02",10000,44946.91,"up",0,42551.44018873013,40517.86808447736,776.7646123822041,708.5489608560165,false,true,true
"2024-01-03",10000,42845.23,"up",0,42574.03940498166,40605.69306242162,748.6491373111967,165.89264494390954,false,true,true
"2024-01-04",10000,44151.1,"up",0,42695.35175844461,40739.48200346231,732.7088860121426,97.82108254178456,false,true,true
"2024-01-05",10000,44145.11,"up",0,42806.87162317964,40867.9962674826,723.469884698623,78.8317254044814,false,true,true
"2024-01-06",10000,43968.32,"up",0,42896.213806011976,40984.98961587949,714.4459053601109,83.99258653094148,false,true,true
"2024-01-07",10000,43929.02,"up",0,42975.66043631875,41096.08510207271,703.7743742553369,118.0130025784747,false,true,true
"2024-01-08",10000,46951.04,"up",0,43281.45886429423,41317.02679633412,739.240128860951,561.0774336959221,false,true,true
"2024-01-09",10000,46110,"up",0,43499.03895165622,41497.89370968,786.6614870803927,786.9860993621478,false,true,true
"2024-01-10",10000,46653.99,"up",0,43741.727493836515,41692.46338101283,845.9765621492344,528.7440238063718,false,true,true
"2024-01-11",10000,46339.16,"up",0,43941.52999431064,41867.81042323876,902.6859137875415,468.5234001788267,false,true,true
"2024-01-12",10000,42782.73,"up",0,43852.391533209826,41902.33569028636,895.9910832153269,-293.9852451919287,false,true,true
"2024-01-13",10000,42847.99,"up",0,43775.12987680907,41938.02075857744,848.9057339241434,-785.1700809248214,false,true,true
"2024-01-14",10000,41732.35,"up",0,43617.99296320837,41930.25959787641,759.2384693100124,-816.5261678779716,false,true,true
"2024-01-15",10000,42511.1,"up",0,43532.84735065389,41952.17810361692,658.2762346742372,-604.5098591478745,false,true,true
"2024-01-16",10000,43137.95,"up",0,43502.47063137282,41996.9242129144,564.0278197672296,-293.0115467055075,false,true,true
"2024-01-17",10000,42776.1,"up",0,43446.59596742106,42026.32707280442,471.8695157400063,-259.2192885341283,false,true,true
"2024-01-18",10000,41327.5,"up",0,43283.58858531175,41999.95623986841,361.66529027421143,-400.85399366600905,false,true,true
"2024-01-19",10000,41659.03,"up",0,43158.622540287775,41987.0910987413,250.39237762854737,-468.3223642808007,false,true,true
"2024-01-20",10000,41696.04,"up",0,43046.11619103487,41976.10803841144,144.30252056979592,-321.8063142624087,false,true,true
"2024-01-21",10000,41580.33,"up",0,42933.363407109115,41961.17301809403,44.84772784878007,-206.36228270616994,false,true,true
