base,filter,return,realized,dd,trades,pf,exposure,y2024,y2025,y2026,slip10
"ema25","none",51.943445420836774,27.544447945006556,23.535902059947915,15,1.7962698336062968,32.6530612244898,30.173419413690606,-7.796904695481588,26.585960899473605,48.764036935956035
"ema25","adx20",-32.44162553068028,-32.44162553068028,36.07718631223644,9,0.004243537912260862,7.755102040816326,-24.60893636955378,-7.3265029565846245,-4.140534356882963,-34.17680709805146
"ema25","adx25",-14.915222377492409,-14.915222377492398,19.790462496817256,3,0,6.224489795918367,-11.223067573248846,-2.560975001118637,0,-15.4854217333815
"ema25","er0.2",-6.093783305143274,-6.09378330514328,6.093783305143279,1,0,0.10204081632653061,-6.093783305143274,0,0,-6.281607913924203
"ema25","er0.3",-6.093783305143274,-6.09378330514328,6.093783305143279,1,0,0.10204081632653061,-6.093783305143274,0,0,-6.281607913924203
"ema25","slope0.1",-21.23155157501514,-21.231551575015143,29.47749318008522,6,0.14126130124306208,11.326530612244898,-17.31685087839212,-2.7835208934981037,0,-22.389130892547517
"ema25","slope0.2",-11.422662175841669,-11.42266217584166,20.177423634783473,4,0.2341607864272366,11.122448979591837,-11.223067573248846,0.9315852005320924,0,-12.199839673991796
"ema25","gap0.25",-21.13406858727992,-21.134068587279913,29.298313129339814,9,0.2728265391380679,15.204081632653061,-18.515153064410494,-6.253263675210496,0,-22.891842676016537
"ema25","gap0.5",-13.841983096118271,-13.841983096118257,22.38449246746104,7,0.3642074505542197,14.285714285714285,-11.223067573248846,-6.253263675210496,0,-15.21432678623581
"ema25","adx20_slope01",-21.009005682635685,-21.009005682635678,25.568140909279176,4,0,6.326530612244897,-17.31685087839212,-2.560975001118637,0,-21.7670296473057
"ema25","flat_veto0.1",8.089556614839477,-16.309440860990776,33.421965858251866,9,0.3791078746982658,20.816326530612244,-17.31685087839212,-4.327161913769196,30.86474921012572,6.197768287413208
"ema25","flat_veto0.2",-12.732588720729732,-12.732588720729726,29.89957472541206,7,0.4354281832877451,18.46938775510204,-17.31685087839212,-0.6120558197389991,6.3274977805263255,-14.107148983025885
"rearm","none",79.42214587236806,55.02314839653785,27.68665577338688,20,2.089594591372542,43.57142857142857,68.60029179069198,-11.770701778391789,19.611586056913666,75.18783488908274
"rearm","adx20",-39.96334978182842,-39.96334978182842,48.103582150849185,13,0.12973813808760232,19.183673469387756,-31.48378355866831,-7.3265029565846245,-4.787411418916577,-42.48350292911734
"rearm","adx25",-16.01928644511429,-16.019286445114293,32.95544196736501,5,0.266474061154075,13.877551020408163,-18.14659089889795,-2.560975001118637,5.819459258027226,-16.98727987879036
"rearm","er0.2",21.780309620198366,21.780309620198377,27.64628239865172,7,1.859946460111919,16.020408163265305,26.36651389428355,-3.973797082910202,-0.6124071911749684,20.33679251806022
"rearm","er0.3",15.45153104263699,15.451531042636976,25.483999233549522,5,1.77492844644358,9.795918367346939,23.251940917903703,-3.973797082910202,-3.8266127923565207,14.420658852741663
"rearm","slope0.1",16.435729320257586,16.435729320257618,33.215905129124074,10,1.4810740087711463,24.489795918367346,21.110021498609278,-6.757317976408306,3.2142056011815523,14.402890700237236
"rearm","slope0.2",8.433838984944831,8.433838984944837,30.280488499016446,8,1.2769774352162033,20,12.607230670447866,-3.0422118823781097,0,6.816988157802184
"rearm","gap0.25",22.68102164150305,22.68102164150308,28.105363319268832,10,1.7782974294077079,21.93877551020408,25.299937164372487,-6.253263675210496,0,20.63570491494675
"rearm","gap0.5",-13.841983096118271,-13.841983096118257,22.38449246746104,7,0.3642074505542197,14.285714285714285,-11.223067573248846,-6.253263675210496,0,-15.21432678623581
"rearm","adx20_slope01",-27.883852871750204,-27.883852871750197,32.086366813373346,5,0,9.693877551020408,-24.19169806750666,-2.560975001118637,0,-28.828140878000397
"rearm","flat_veto0.1",38.71601911657416,14.31702164074392,36.43215870730261,13,1.3621361659850613,30.102040816326532,21.110021498609278,-8.300958996679398,27.0381364177692,35.96303905587774
"rearm","flat_veto0.2",17.893873781004956,17.893873781004967,34.175992127972215,11,1.4995524981541992,27.755102040816325,21.110021498609278,-4.585852902649201,2.5008849881698048,15.658121785438661
