date,equity,close,state,side,emaFast,ema52,dea,fourDif,priceCross,longAllowed,filterLong
"2024-01-01",10000,44179.55,"up",0,42574.99982550055,40344.18016622157,791.4356606918395,178.2278038509903,true,true,true
"2024-01-02",10163.691221390893,44946.91,"up",1,42790.62802318231,40517.86808447736,776.7646123822041,708.5489608560165,false,true,true
"2024-01-03",9687.977910594382,42845.23,"up",1,42795.591839256645,40605.69306242162,748.6491373111967,165.89264494390954,false,true,true
"2024-01-04",9983.56036899425,44151.1,"up",1,42918.81985386968,40739.48200346231,732.7088860121426,97.82108254178456,false,true,true
"2024-01-05",9982.20453807248,44145.11,"up",1,43030.30077624517,40867.9962674826,723.469884698623,78.8317254044814,false,true,true
"2024-01-06",9942.188286209343,43968.32,"up",1,43115.57525113197,40984.98961587949,714.4459053601109,83.99258653094148,false,true,true
"2024-01-07",9933.292767807729,43929.02,"up",1,43189.52477375634,41096.08510207271,703.7743742553369,118.0130025784747,false,true,true
"2024-01-08",10617.32418053149,46951.04,"up",1,43531.480703414854,41317.02679633412,739.240128860951,561.0774336959221,false,true,true
"2024-01-09",10426.955559755588,46110,"up",1,43765.89154855896,41497.89370968,786.6614870803927,786.9860993621478,false,true,true
"2024-01-10",10550.087189661279,46653.99,"up",1,44028.445953235416,41692.46338101283,845.9765621492344,528.7440238063718,false,true,true
"2024-01-11",10478.825712348813,46339.16,"up",1,44238.51086657765,41867.81042323876,902.6859137875415,468.5234001788267,false,true,true
"2024-01-12",9673.831093797922,42782.73,"up",1,44106.16715143422,41902.33569028636,895.9910832153269,-293.9852451919287,false,true,true
"2024-01-13",9688.602634024111,42847.99,"up",1,43991.78741039475,41938.02075857744,848.9057339241434,-785.1700809248214,false,true,true
"2024-01-14",9436.078558971289,41732.35,"up",1,43786.384009449765,41930.25959787641,759.2384693100124,-816.5261678779716,false,true,true
"2024-01-15",9612.347896255167,42511.1,"up",1,43670.44909949978,41952.17810361692,658.2762346742372,-604.5098591478745,false,true,true
"2024-01-16",9754.234809996931,43137.95,"up",1,43622.04009045435,41996.9242129144,564.0278197672296,-293.0115467055075,false,true,true
"2024-01-17",9672.330399472154,42776.1,"up",1,43545.13644586759,42026.32707280442,471.8695157400063,-259.2192885341283,false,true,true
"2024-01-18",9344.441138490545,41327.5,"up",1,43343.5331326069,41999.95623986841,361.66529027421143,-400.85399366600905,false,true,true
"2024-01-19",9335.088958579252,41659.03,"up",0,43190.39648418809,41987.0910987413,250.39237762854737,-468.3223642808007,false,true,true
"2024-01-20",9335.088958579252,41696.04,"up",0,43054.545894716444,41976.10803841144,144.30252056979592,-321.8063142624087,false,true,true
"2024-01-21",9335.088958579252,41580.33,"up",0,42920.52626792404,41961.17301809403,44.84772784878007,-206.36228270616994,false,true,true
"2024-01-22",9335.088958579252,39568.02,"transition",0,42615.75297084003,41870.86535703388,-77.44219832497095,-504.62330758502503,false,false,true
"2024-01-23",9335.088958579252,39897.6,"transition",0,42368.648155309114,41796.402513372224,-202.19934090711223,-683.0841149413536,false,false,true
"2024-01-24",9335.088958579252,40084.88,"transition",0,42161.03286846283,41731.816758150635,-318.51411515195747,-425.3059229860737,false,false,true
"2024-01-25",9335.088958579252,39961.09,"transition",0,41961.038062238935,41664.99688048457,-424.689002865657,-264.7105290885156,false,false,true
"2024-01-26",9335.088958579252,41823.51,"transition",0,41948.535511126305,41670.9785076361,-488.2607675791361,219.711905846234,false,false,true
"2024-01-27",9335.088958579252,42120.63,"transition",0,41964.18046466028,41687.946488480025,-515.943962079398,424.9170126819081,true,false,true
"2024-01-28",9335.088958579252,42031.06,"transition",0,41970.26042241844,41700.894168160026,-519.9347936298711,430.8408369065073,false,false,true
"2024-01-29",9335.088958579252,43302.7,"transition",0,42091.39129310767,41761.33967124833,-487.3931950253975,505.31760584620497,false,false,true
"2024-01-30",9335.088958579252,42941.1,"transition",0,42168.63753918879,41805.85892893707,-438.31791045002194,554.0278250216434,false,false,true
"2024-01-31",9335.088958579252,42580,"transition",0,42206.03412653526,41835.07179954322,-386.2143637499413,340.2946104994626,false,false,true
